	Наименование			Идентификатор	Вид метаданных	Синоним	Индекс картинки	ИндексКартинки2	Значения	Графы	Измерения	Ресурсы	Реквизиты адресации	Реквизиты	Признак учета	Признак учета субконто	Табличные части	Перерасчеты	Формы	Команды	Макеты	8.0	8.1	8.2
Обработки				bf845118-327b-4682-b5c6-285d2a0eb296	Обработка	Обработки	6	64						ec6bb5e5-b7a8-4d75-bec9-658107a699cf			2bcef0d1-0981-11d6-b9b8-0050bae0a95d		d5b0e5ed-256d-401c-9c36-f630cafd8a62	45556acb-826a-4f73-898a-6025fc9536e1	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
Планы видов характеристик				82a1b659-b220-4d94-a9bd-14d757b95a48	ПланВидовХарактеристик	Планы видов характеристик	32	65						31182525-9346-4595-81f8-6f91a72ebe06			54e36536-7863-42fd-bea3-c5edd3122fdc		eb2b78a8-40a6-4b7e-b1b3-6ca9966cbc94	95b5e1d4-abfa-4a16-818d-a5b07b7d3f73	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
Планы счетов				238e7e88-3c5f-48b2-8a3b-81ebbecb20ed	ПланСчетов	Планы счетов	33	66						6e65cbf5-daa8-4d8d-bef8-59723f4e5777	78bd1243-c4df-46c3-8138-e147465cb9a4	c70ca527-5042-4cad-a315-dcb4007e32a3	4c7fec95-d1bd-4508-8a01-f1db090d9af8		5372e285-03db-4f8c-8565-fe56f1aea40e	0df30176-6865-4787-9fc8-609eb144174f	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
Планы видов расчета				30b100d6-b29f-47ac-aec7-cb8ca8a54767	ПланВидовРасчета	Планы видов расчета	34	67						0dc22ad2-476a-4794-afae-cfa7ed251752			054aa8cf-faa6-4634-aef4-1087ca0d88fc		a7f8f92a-7a4b-484b-937e-42d242e64144	2e90c75b-2f0c-4899-a7d4-5426eaefc96e	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
Регистры сведений				13134201-f60b-11d5-a3c7-0050bae0a776	РегистрСведений	Регистры сведений	7	68			13134203-f60b-11d5-a3c7-0050bae0a776	13134202-f60b-11d5-a3c7-0050bae0a776		a2207540-1400-11d6-a3c7-0050bae0a776					13134204-f60b-11d5-a3c7-0050bae0a776	b44ba719-945c-445c-8aab-1088fa4df16e	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
Регистры накопления				b64d9a40-1642-11d6-a3c7-0050bae0a776	РегистрНакопления	Регистры накопления	35	69			b64d9a43-1642-11d6-a3c7-0050bae0a776	b64d9a41-1642-11d6-a3c7-0050bae0a776		b64d9a42-1642-11d6-a3c7-0050bae0a776					b64d9a44-1642-11d6-a3c7-0050bae0a776	99f328af-a77f-4572-a2d8-80ed20c81890	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
Регистры бухгалтерии				2deed9b8-0056-4ffe-a473-c20a6c32a0bc	РегистрБухгалтерии	Регистры бухгалтерии	36	70			35b63b9d-0adf-4625-a047-10ae874c19a3	63405499-7491-4ce3-ac72-43433cbe4112		9d28ee33-9c7e-4a1b-8f13-50aa9b36607b					d3b5d6eb-4ea2-4610-a3e2-624d4e815934	7162da60-f7fe-4d78-ad5d-e31700f9af18	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
Регистры расчета				f2de87a8-64e5-45eb-a22d-b3aedab050e7	РегистрРасчета	Регистры расчета	37	71			b12fc850-8210-43c8-ae05-89567e698fbb	702b33ad-843e-41aa-8064-112cd38cc92c		1b304502-2216-440b-960f-60decd04bb5d				274bf899-db0e-4df6-8ab5-67bf6371ec0b	a2cb086c-db98-43e4-a1a9-0760ab048f8d	acdf0f11-2d59-4e37-9945-c6721871a8fe	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
Бизнес процессы				fcd3404e-1523-48ce-9bc0-ecdb822684a1	БизнесПроцесс	Бизнес-процессы	38	72						87c988de-ecbf-413b-87b0-b9516df05e28			a3fe6537-d787-40f7-8a06-419d2f0c1cfd		3f7a8120-b71a-4265-98bf-4d9bc09b7719	7a3e533c-f232-40d5-a932-6a311d2480bf	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
Задачи				3e63355c-1378-4953-be9b-1deb5fb6bec5	Задача	Задачи	39	73					e97c0570-251c-4566-b0f1-10686820f143	8ddfb495-c5fc-46b9-bdc5-bcf58341bff0			ee865d4b-a458-48a0-b38f-5a26898feeb0		3f58cbfb-4172-4e54-be49-561a579bb38b	f27c2152-a2c9-4c30-adb1-130f5eb2590f	3daea016-69b7-4ed4-9453-127911372fe6	+	+	+
